c1_m1;c1_m2;c1_m3;c2_m1;c2_m2;c2_m3;aspiracjaK;aspiracjaR;sredniKoszt;ryzyko;Rozwi¹zanie
0;710;390;450;76;674;85937;1291.23;89490.8;1856.27;-0.2605729806421991
0;688;412;448;84;668;86437;1291.23;89736.6;1815.83;-0.241922451370799
0;679;421;436;99;665;86937;1291.23;89982.2;1775.19;-0.223181677063625
0;657;443;434;107;659;87437;1291.23;90227.9;1734.52;-0.2045305837120522
0;639;461;429;117;654;87937;1291.23;90471.7;1694.25;-0.1858557629097921
0;619;481;426;126;648;88437;1291.23;90717.1;1653.82;-0.1672108794100196
0;608;492;415;140;645;88937;1291.23;90963;1613.22;-0.1484892204701229
0;597;503;404;154;642;89437;1291.23;91209;1572.7;-0.1298549610143589
0;586;514;394;168;638;89937;1291.23;91456.2;1532.56;-0.1113357919999246
0;562;538;393;175;632;90437;1291.23;91702.4;1492.52;-0.09282802264477236
0;553;547;385;190;625;90937;1291.23;91953.4;1452.83;-0.07452177778573817
0;533;567;379;200;621;91437;1291.23;92208.4;1413.79;-0.05653290359824039
0;518;582;377;212;611;91937;1291.23;92464.6;1375.16;-0.03870609852996785
0;500;600;373;223;604;92437;1291.23;92723.4;1336.71;-0.02098750146798189
0;494;606;374;239;587;92937;1291.23;92981.5;1298.31;-0.003262759801390984
0;405;695;429;224;547;93437;1291.23;93414.5;1279.39;1.645267103464401e-007
0;395;705;461;248;491;93937;1291.23;93849.7;1278.44;5.896612230812879e-007
0;347;753;481;260;459;94437;1291.23;94344.8;1284.47;6.759091040500036e-007
0;342;758;478;276;446;94937;1291.23;94591;1246.64;2.53527538941209e-006
0;321;779;462;319;419;95437;1291.23;95289.9;1127.23;1.078527742450908e-006
0;313;787;457;334;409;95937;1291.23;95538.7;1086.92;2.919123393936003e-006
0;291;809;441;379;380;96437;1291.23;96271.2;966.176;1.215648118265313e-006
0;291;809;441;379;380;96937;1291.23;96271.2;966.176;4.879640204438164e-006
0;258;842;418;445;337;97437;1291.23;97350.8;792.958;6.326697584020063e-007
0;251;849;399;479;322;97937;1291.23;97833.9;694.108;7.565370492033124e-007
0;238;862;387;510;303;98437;1291.23;98323.6;619.241;8.326299886052645e-007
0;243;857;380;556;264;98937;1291.23;98911.3;551.581;1.898567865615796e-007
0;224;876;346;584;270;99437;1291.23;99367.8;501.909;5.09119750717601e-007
0;730;370;458;62;680;85937;1391.23;89183.9;1907.24;-0.2379631149852957
0;710;390;455;71;674;86437;1391.23;89429.3;1866.9;-0.2193606229825741
0;701;399;443;86;671;86937;1391.23;89674.9;1826.04;-0.2006409956060765
0;681;419;439;95;666;87437;1391.23;89918.9;1785.48;-0.1818851686975741
0;661;439;436;104;660;87937;1391.23;90164.4;1745.05;-0.1632296712610707
0;641;459;433;113;654;88437;1391.23;90409.8;1704.62;-0.1445741738245674
0;632;468;420;128;652;88937;1391.23;90654;1664.19;-0.1258757405857056
0;612;488;417;137;646;89437;1391.23;90899.5;1623.76;-0.1072308570859345
0;601;499;406;151;643;89937;1391.23;91145.4;1583.21;-0.08855404806357933
0;590;510;395;165;640;90437;1391.23;91391.3;1543.06;-0.07001716765806454
0;566;534;395;172;633;90937;1391.23;91638.8;1502.78;-0.05144160457251096
0;555;545;385;186;629;91437;1391.23;91886.1;1462.9;-0.03305270693024349
0;537;563;379;197;624;91937;1391.23;92142.1;1423.8;-0.01503132594648536
0;480;620;404;189;607;92437;1391.23;92427.4;1391.22;7.000417791888883e-008
0;421;679;459;193;548;92937;1391.23;92930.6;1391.1;4.70815409205769e-008
0;382;718;473;210;517;93437;1391.23;93428.8;1374.08;7.907627891406598e-007
0;363;737;492;228;480;93937;1391.23;93821.1;1371.94;8.492778293275585e-007
0;347;753;481;260;459;94437;1391.23;94344.8;1284.47;6.761396601050973e-007
0;342;758;478;276;446;94937;1391.23;94591;1246.64;2.535505945467184e-006
0;321;779;462;319;419;95437;1391.23;95289.9;1127.23;1.078758298506002e-006
0;313;787;457;334;409;95937;1391.23;95538.7;1086.92;2.919353949991096e-006
0;291;809;441;379;380;96437;1391.23;96271.2;966.176;1.215878674320407e-006
0;291;809;441;379;380;96937;1391.23;96271.2;966.176;4.879870760493257e-006
0;258;842;418;445;337;97437;1391.23;97350.8;792.958;6.329003144570999e-007
0;251;849;399;479;322;97937;1391.23;97833.9;694.108;7.567676052584061e-007
0;238;862;387;510;303;98437;1391.23;98323.6;619.241;8.328605446603581e-007
